ID,Name,canonical_outcomes
527,"In the end, the Court  allow the application and waive the requirement for service on the 2nd and 3rd respondents with the notice of appeal and the letter requesting to be supplied with proceedings, judgment and decree. The applicant may proceed with other steps necessary for the realisation of the appeal. In the circumstance of the present application, the Court  make no order as to costs.",Allowed
528,"This application is allowed. For that matter, time to deposit bank guarantee is extended for a period of forty-five (45) days from the issuance of this decision. Cost of the application to abide the outcome of the appeal.",Allowed
529,"In fine, the Court  allow the appeal and  order the record of appeal of the High Court in Criminal Appeal No. 10 of 2021 to be remitted back to the High Court for compliance with the law, the Court  also direct the appeal hearing to be expeditiously conducted. Meanwhile, the appellant has to remain in prison custody.",Allowed | Remitted
530,The Court  declare the appeal time barred and accordingly strike it out with costs.,Struck out
531,"From the foregoing, it may be apparent that, effective remedies to address the appellant's complaints exist within the ordinary laws and, therefore, the petition, as correctly decided by the High Court, was premature for want of exhaustion of the available remedies. The appeal is, therefore, dismissed for being without merits. This being an appeal arising from the enforcement of the basic rights and duties, the Court  shall not give an order as to costs.",Dismissed
532,"In the upshot, the Court  find that the appeal is devoid of merit and we proceed to dismiss it. In the circumstances of the present appeal, the Court  make no order as to costs.",Dismissed
533,"In the final analysis, the Court  allow the appellant's appeal, quash the decree of the High Court, set aside the orders for paying both punitive and general damages as weil as waive the restraint order against the appellant and its associates. The appellant shall have costs of the case here and before the High Court.",Allowed | Quashed
534,"In the event, and for the foregoing, the Court  satisfied that the application at hand is meritorious. Accordingly, the Court  constrained to allow it. Consequently, in terms of rule 89 (2) of the Rules, the notice of appeal filed by the respondent on 28th February, 2022 is hereby struck out. In the circumstances of the present application, the Court  do not make an order as to costs. It is so ordered.",Struck out
535,"For those reasons, the Court  grant this application and hereby order stay of execution of the decree of the High Court (Land Division) in Land Case No. 51 of 2016, until determination of the intended appeal. This order is on condition that the applicants execute a bond committing to maintain the status quo of the suit land subject of the decree within sixty (60) days from the date of delivery of this ruling. Costs shall abide the main cause.",Allowed
536,"In the circumstances of this application, the Court  inclined to grant this uncontested application and order stay of execution of the decree in Commercial Case No. 153 of 2013, on condition that the applicant deposits a bank guarantee at the tune of TZS. 324,189,305/= not later than ninety (90) days from the date of this order. Costs shall abide the main cause. It is so ordered.",Allowed
552,"For the foregoing reasons and being guided by the aforementioned authorities, the appeal is allowed solely on the ground raised by this court suo mottu. The conviction is hereby quashed and the sentence is set aside. Further, I order that the appellant be released from custody and be set free forthwith unless he is held for some other lawful cause. Order accordingly",Allowed | Quashed | Release ordered
537,"Having said so, the Court  hereby grant the application for stay of execution of the decree in Labour Revision No. 366 of 2022, originating from Labour Dispute No. CMA/DSM/KIN/380/2020/178/20/20 subject to applicant giving security for the due performance of decree in a form of a bank guarantee of the decretal sum within sixty (60) days from the date of this ruling. The order is made, pending hearing and determination of the intended appeal. Costs be in due course.",Allowed
538,"In the circumstances of this application, the Court inclined to grant this application as the Court  hereby do in terms of rule 11 (3) and (5) of the Rules, on condition that the applicant deposits a bank guarantee in favour of the respondent at the tune of TZS. 466,800,000/= not later than 60 days from the date of this Order. Costs to abide the results of the intended appeal.",Allowed
539,"In the light of the above, this appeal has merit to the extent explained in ground four on costs and otherwise it is accordingly dismissed.",Dismissed
540,"With the above discussion, there is no need of getting to issues of procurement of the bank guarantee or an insurance bond, because, in order to consider security for due performance of the decree, substantial loss must be demonstrated first. That said and done, this application has no merit. It is hereby dismissed with costs.",Dismissed
541,"As to the way forward, the Court  accede to the proposal by the learned Senior State Attorney. Hence, the Court  invoke our revisional powers bestowed on us under section 4 (2) of the AJA and nullify the proceedings and judgment of the High Court and remit the matter to the High Court for an expedited hearing of the appeal before another Judge. It is so ordered.",Proceedings nullified | Remitted
542,"In the event, the Court  find that, this appeal has been brought without sufficient grounds, the Court  thus hereby dismissed it in its entirety.",Dismissed
543,"The Court  satisfied that the applicant has met all the conditions. I thus hereby grant the application and order that execution of the decree in Miscellaneous Civil Application No. 820 of 2016 be stayed pending a hearing of the intended appeal. This order is, however, subject to the applicant's deposit of the original Certificates of Titles with numbers 124738, 97819, 97764, 97728 and 123752 in the name of Simba Motors Ltd in the alternative the applicant to deposit with the Registrar of the Court an irrevocable bank guarantee in the sum of USD 300,000. The intended bank guarantee should be amenable to renewal to cover the whole period until the pending appeal is determined and it should be deposited within sixty (60) days from the date of this order.",Allowed
544,The application is hereby struck out for being incompetent with no order for costs. It is so ordered.,Struck out
545,"In view of the foregoing,  The Court thus order a stay of execution of the decree of the High Court of Tanzania at Dar es Salaam in Land Appeal No. 315 of 2023 with the conditions that, first, the applicant shall not dispose of or alienate in any way the disputed property known as Plot No. 573, Block 10, Sukari Street, Mwananyamala ""A"" within Kinondoni Municipality and surrenders in Court a Certificate of Title for the disputed property within sixty (60) days from the ruling date. Second, the applicant is to deposit in Court a bank guarantee for the sum of TZS. 50,000,000/= within sixty (60) days, pending hearing and determination of the intended appeal. Costs in the application shall abide by the outcome of the appeal. It is so ordered.",Allowed
546,The Court  grant the application and order the applicant to lodge his application for revision within sixty (60) days. It is so ordered.,Allowed
547,"In the result,  the Court grant the application for enlargement of time. The same should be lodged within fourteen days from the date of this ruling. Costs will be in the cause.",Allowed
548,"All in all, given the circumstances of the case,  the Court  satisfied that the prosecution managed to prove the offence of murder against the appellants beyond reasonable doubt, the Court  see no cogent ground to fault the trial courts' findings. Hence, this appeal is devoid of merit and  accordingly the Court dismiss it in its entirety.",Dismissed
549,"The application has met the threshold. Good cause having been demonstrated under rule 11(2) (b) (d) of the Rules. Consequently, it is hereby granted. For avoidance of doubts therefore, execution of the decree of the High Court of Arusha in Civil Appeal No. 05 of 2022 (Phillip, J.) is stayed. The order is upon a condition that the applicant provide a bank's grantee for TZS 73,489,606.86 in favour of the respondent within sixty days from the date hereof. In default, the order shall lapse automatically. Each party shall bear their costs.",Allowed
550,"In the upshot, the applicant has failed to account for the delay of such a couple of months. Consequently, the Court  hereby dismiss the application with costs.",Dismissed
551,"In the circumstances, the Court  remit the case file to the DLHT at Dodoma and direct that Misc. Land Application No. 110 of 2021 be heard afresh and expeditiously by another chairman and a new set of assessors. It is so ordered.",Retrial ordered | Remitted
553,"When all the foregoing is said, the Court  satisfied that the applicant has not shown good cause to warrant my discretion and grant of extension of time sought. The application is hereby dismissed in its entirety.",Dismissed
554,"The upshot of it is that, the applicant has advanced good cause for the grant of an order of stay. For avoidance of doubt, therefore, execution of the decree dated 29th May, 2023 of the High Court of Tanzania at Arusha in Land Case NO. 03 of 2020, is hereby stayed. Being guided by our proposition in Mantrac Tanzania Ltd v. Raymond Costa, Civil Application No. 11 of 2010, the order is conditional upon the applicant depositing in court, a bank's guarantee for TZS 21,059,360,581.00, in favor of the respondent within sixty working days from the date hereof. Each party shall bear their costs.",Allowed
555,"It follows that, the alleged accident was not sufficiently established as the cause of the applicant's delay. As such, the applicant has failed to show any sufficient cause for the grant of extension of time. The application is dismissed with costs.",Dismissed
556,"In the event, and for the foregoing reasons, the Court  find the application with merit and it is granted. Accordingly, the execution of the decree of the trial tribunal is stayed pending hearing and determination of the intended appeal on condition that each of the applicants furnish a commitment bond, within 14 days from the date hereof that, the suit property shall remain in the same condition as it was on the date of pronouncement of the judgment, the decree of which is the subject of the execution at the executing court. No order as to costs in the circumstances.",Allowed
557,"In the final analysis, we find that the appeal is devoid of merit and we accordingly dismiss it in its entirety.",Dismissed
558,The Court  finally find nothing to fault in the findings of the TRAT that section 16(1) (b) of the VAT Act cannot apply to credit input VAT to the appellant because the imported generators were not for the furtherance of business between TANESCO and the appellant in respect of generation of the additional 50MW. The appeal therefore fails on that account. the Court  thus dismiss it with,Dismissed
559,"In the final analysis, there is no evidence establishing the appellants'  culpability to the required standard of proof beyond a speck of doubt. the Court  allow their appeal, quash their respective convictions and set aside the sentences imposed to each of them,  also order that they all be set at liberty immediately if not held in prison for another lawful cause.",Allowed | Quashed | Release ordered
560,"In the end, the Court  find merit in the appeal. Accordingly, allow it by quashing and setting aside the judgments of the two lowers courts and the decrees arising therefrom, further make an order that the  appellant and the 2nd respondents shall have their costs.",Allowed | Quashed
562,"Consequently, the Court  proceed to grant the application on a condition that, the applicant has to furnish within 30 days a commitment bond to preserve a status quo of the disputed land until the intended appeal is concluded. It is so ordered.",Allowed
563,Tawan,
564,"For the interest of justice, in exercise the court  revisional powers under section 4 (2) of the AJA,  the Court  nullify the proceedings and judgments of the High Court in Criminal Appeal No. 50 of 2018 of 21st July, 2020 and in Criminal Appeal No. 45 of 2022 of 16th August, 2022 subject of the present appeal, as well, nullify the proceedings and judgment of the trial court from 21st July, 2017 up to 17th June, 2021 when the appellant was convicted and sentenced vide Criminal Case No. 33 of 2015 subject of Criminal Appeal No. 45 of 2022 which is also a subject of the present appeal whose proceedings and judgment, the Court  already nullified,  as well  restore the proceedings and first judgment of the trial court of  29th December, 2015 which convicted and sentenced the appellant andrestore the proceedings and first judgment of the trial court of  29th December, 2015 which convicted and sentenced the appellant and the order of reconviction and sentence of 4th April, 2018,  further order for a retrial before",Proceedings nullified | Retrial ordered | Convicted | Sentenced
565,"For the interest of justice, in exercise the court  revisional powers under section 4 (2) of the AJA,  the Court  nullify the proceedings and judgments of the High Court in Criminal Appeal No. 50 of 2018 of 21st July, 2020 and in Criminal Appeal No. 45 of 2022 of 16th August, 2022 subject of the present appeal, as well, nullify the proceedings and judgment of the trial court from 21st July, 2017 up to 17th June, 2021 when the appellant was convicted and sentenced vide Criminal Case No. 33 of 2015 subject of Criminal Appeal No. 45 of 2022 which is also a subject of the present appeal whose proceedings and judgment, the Court  already nullified,  as well  restore the proceedings and first judgment of the trial court of  29th December, 2015 which convicted and sentenced the appellant andrestore the proceedings and first judgment of the trial court of  29th December, 2015 which convicted and sentenced the appellant and the order of reconviction and sentence of 4th April, 2018.",Proceedings nullified | Convicted | Sentenced
566,"The Court  find merit in the appeal which we herein allow. Consequently, the appellant's conviction is quashed and the sentence meted out to him is set aside,  accordingly order the immediate release of the appellant from prison if he is not otherwise retained for some other lawful cause.",Allowed | Quashed | Release ordered
567,"In the final analysis, therefore, the Court  find that the case against the appellant was not proved beyond reasonable doubts and allow the appeal, accordingly quash the appellant's conviction and set aside the sentence imposed against him. The appellant shall be released from the prison forthwith unless therein withheld for other lawful reasons.",Allowed | Quashed | Release ordered
568,"This appeal has merit and it is allowed. Consequently, the Court  quash the ruling and drawn order of the High Court. Since the hearing was based on written submissions whose order was made upon the concurrent prayer of the parties, and  direct that the record be remitted to the High Court for composition of a fresh decision basing on the respective written submissions by a different judge. It has to be as expeditiously as possible. Costs to follow the event.",Allowed | Quashed | Remitted
569,"Just as the first appellate court decided, the Court has not amused by the appellant's story as far as the claim against the respondents is concerned., the Court has  weighed the evidence on record and it is our sincere finding that, the appellant failed to prove his claim against the respondents on the balance of probabilities. For the foregoing analysis and reason,  the Court dismiss this appeal with costs.",Dismissed
570,"Consequently, the Court  order that the trial court record in Criminal Case No. 349 of 2015 of the District Court of Momba at Chapwa be remitted to the said trial court (i.e District Court of Momba at Chapwa) before another Resident Magistrate with competent jurisdiction for him to expeditiously compose a fresh judgment in accordance with the law. In the event that the appellant is ultimately found guilty and convicted of the offence as charged, the sentence to be imposed at the time of sentencing him should take into account the period spent by him in prison from 22nd January, 2016 when conviction was improperly entered for the first time by the trial court up to the date of the conviction by the trial court as the Court has  just herein ordered. In the meantime, the appellant shall remain in custody pending the composition and delivery of a fresh judgment of the trial court in accordance with the law.",Remitted | Convicted | Sentenced
571,"Consequently,  the Court allow the appeal, quash conviction and set aside the appellant's sentence,  order immediate release of the appellant from prison unless otherwise he is lawfully held for other cause.",Allowed | Quashed | Release ordered
572,"In the final result and for the foregoing reasons, therefore, the Court  find the appeal devoid of any merit and is hereby dismissed.",Dismissed
573,"Consequently, the Court  allow the appeal, quash conviction and set aside the appellant's 30 years imprisonment sentence. The Court  hereby order the appellant to be released forthwith from prison unless otherwise lawfully held.",Allowed | Quashed | Release ordered
574,"In the Court  resolve, therefore,  allow the appeal. Consequently,  nullify the proceedings, quash the convictions and set aside the sentences meted out to the appellants. In the circumstances,  the Court  order the immediate release of the appellants from prison if they are, or any one of them is, not otherwise retained for some other lawful cause.",Allowed | Quashed | Proceedings nullified | Release ordered
575,Conviction quashed,Quashed
576,Application allowed in part,Allowed in part
577,Affirmed,Dismissed
